x' L B' M B M' B' M' B M B' M' B R'  (13sq) 
x' L U M' B' M B M U' B' M' M' B R'  (13sq) 
x' L U' M' B' M B M U B' M' M' B R'  (13sq) 
x L' R' R' M B' M B M B' M' M' B R'  (13sq) 
x' L B' B' M' B M B M B' M' M' B R'  (13sq) 
x' L D' D' B' M' B M' D' D' B' M B R'  (13sq) 
x' L M' D M B' M' B M' D' B' M B R'  (13sq) 
x' L M' D' M B' M' B M' D B' M B R'  (13sq) 
x L' R' R' M' M' B' M' B M' B' M B R'  (13sq) 
x' L M B' B' M' B M' B M' B' M B R'  (13sq) 
x' L M' B' B' M B M' B M' B' M B R'  (13sq) 
x L F' L' L' R' R' M B M' B' M B R'  (13sq) 
x L F' M' F L' L' R' R' M B' M B R'  (13sq) 
x' L B M B' M' B' B' M' M' B M B R'  (13sq) 
x L' M' U R B' U' M' M' U B R' U' R  (13sq) 
x' R' B L M B' U' M' M' U B R' U' R  (13sq) 
x R' F R U' F' M' M' F U L' M' U' R  (13sq) 
x L' M' U' R B' U' M' M' U B R' U R  (13sq) 
x' R' B' L M B' U' M' M' U B R' U R  (13sq) 
x R' F' R U' F' M' M' F U L' M' U R  (13sq) 
x L' M F' M U M F M' F' M' U' F R  (13sq) 
x L' F' U' L' F U M U' F' L U F R  (13sq) 
x L' M F' M U' M F M' F' M' U F R  (13sq) 
x L' F' R F' L' U M U' L F R' F R  (13sq) 
x L' M' F' D M' F M' M' F' M D' F R  (13sq) 
x L' M' F' D' M' F M' M' F' M D F R  (13sq) 
x L' U M F' M' M' F M' U' F' M' F R  (13sq) 
x L' U' M F' M' M' F M' U F' M' F R  (13sq) 
x' L' M B' L' L' R' R' F M' F' M' F R  (13sq) 
x L' F' F' M F M' M' F M' F' M' F R  (13sq) 
x' L' M' B' M' B L' L' R' R' F' M F R  (13sq) 
x L' F' F' M' F M' F M' M' F' M F R  (13sq) 
x L' D M' F' M' F M D' M F' M F R  (13sq) 
x L' D' M' F' M' F M D M F' M F R  (13sq) 
x' L' M B M B L' L' R' R' F M F R  (13sq) 
x L' F' F' M F' M F M' M' F M F R  (13sq) 
x R' M B L' M' B D M D' B' R D' R  (13sq) 
x L' D F' L B' D' M D B L' F D' R  (13sq) 
x L' F M F' M D' D' F M' F' D' D' R  (13sq) 
x L' D' D' F M F' M F M' F' D' D' R  (13sq) 
x L' D B R' B D M D' B' R B' D' R  (13sq) 
x L' D B M' F' D' M D F M B' D' R  (13sq) 
