x F R' D F' M F D' R F'  (9sq*) 
x L' M' U' F' L F' M' F L' F U L M'  (13sq) 
x R' F' D' R M' F' M' F L' F U L M'  (13sq) 
x' R' B' U' L U' M' U R' M F U L M'  (13sq) 
x D L D' M' D L' D' L' U' M' U L M'  (13sq) 
x M U F L' F U M U' F' L F' U' M'  (13sq) 
x M U F' R F' U' M U F R' F U' M'  (13sq) 
x M' U R B L' B M' B' L B' R' U' M'  (13sq) 
x M' U R' B L' B M' B' L B' R U' M'  (13sq) 
x U' U' M' U' B L' B M' B' L B' U' M'  (13sq) 
x M' U B R' M U M' U' R M' B' U' M'  (13sq) 
x U' U' M' U' B' R B' M' B R' B U' M'  (13sq) 
x M' U B' L M U' M' U L' M' B U' M'  (13sq) 
x M' U L B' R B' M' B R' B L' U' M'  (13sq) 
x M' U L' B' R B' M' B R' B L U' M'  (13sq) 
x U' U' M' U F R' F M' F' R F' U M'  (13sq) 
x M' U' F L' M' U M' U' L M F' U M'  (13sq) 
x U' U' M' U F' L F' M' F L' F U M'  (13sq) 
x M' U' F' R M' U' M' U R' M F U M'  (13sq) 
x M' U' R F' L F' M' F L' F R' U M'  (13sq) 
x M U' R B' M' B' M B M B R' U M'  (13sq) 
x M' U' R' F' L F' M' F L' F R U M'  (13sq) 
x M' U' L F R' F M' F' R F' L' U M'  (13sq) 
x M' U' L' F R' F M' F' R F' L U M'  (13sq) 
x M U' L' B M' B M B' M B' L U M'  (13sq) 
x D L' L' D' M' D L' L' U' D' M' U M'  (13sq) 
x U B' B' U M' U' B' B' U' U' M' U M'  (13sq) 
x U B' B' U' M' U B' B' U' U' M' U M'  (13sq) 
x L D L D' M' D L' D' L' U' M' U M'  (13sq) 
x L' D L' D' M' D L D' L U' M' U M'  (13sq) 
x M' B L' B M B' L B' M' U' M' U M'  (13sq) 
x M B L' B' M' B L B' M' U' M' U M'  (13sq) 
x M F L F M F' L' F' M U' M' U M'  (13sq) 
x M' F L F' M' F L' F' M U' M' U M'  (13sq) 
x M U' M U M' U M U' M U' M' U M'  (13sq) 
x M U' M U' M' U' M U M U M' U M'  (13sq) 
x D F R' F' D M' D' F R F' D' M' M'  (13sq) 
x D' F R' F' D M' D' F R F' D M' M'  (13sq) 
x R' D F' L D' M' D L' F D' R M' M'  (13sq) 
x R' D' F' L D' M' D L' F D R M' M'  (13sq) 
x R' U F L' U M' U' L F' U' R M' M'  (13sq) 
x R' F U L' U M' U' L U' F' R M' M'  (13sq) 
x R' F U' R U' M' U R' U F' R M' M'  (13sq) 
x R' F' D R' D M' D' R D' F R M' M'  (13sq) 
x R' F' D' L D' M' D L' D F R M' M'  (13sq) 
x B D R D' B M' B' D R' D' B' M' M'  (13sq) 
x B D' R D' B M' B' D R' D B' M' M'  (13sq) 
x M' B L B U M' U' M B' L' B' M' M'  (13sq) 
x B L M B' U M' U' B L' M' B' M' M'  (13sq) 
x U M U B' B' M' B' B' U' M' U' M' M'  (13sq) 
x U' M' U' B' B' M B' B' U' M' U' M' M'  (13sq) 
x U M U' F' F' M' F' F' U M' U' M' M'  (13sq) 
x U' M' U F' F' M F' F' U M' U' M' M'  (13sq) 
x U' R B' R' U M' U' R B R' U M' M'  (13sq) 
x U' M' U B' B' M' B' B' U' M U M' M'  (13sq) 
x U M U' B' B' M B' B' U' M U M' M'  (13sq) 
