x' U' M' U' M' M' U' M' U' D' D' M' D' D'  (13sq) 
x' U M' M' U' M U M U' D' D' M' D' D'  (13sq) 
x' U' M' U' M U M U M' D' D' M' D' D'  (13sq) 
x' U' D' D' M' M' U' M' U M' U M' D' D'  (13sq) 
x' U M U' M' M' D' D' U' M U M' D' D'  (13sq) 
x' M' U' M' D' D' U' M U' M' U' M D' D'  (13sq) 
x' D' D' M U M U M U' M' U' M D' D'  (13sq) 
x' U' M U' D' D' M' U' M' M' U' M D' D'  (13sq) 
x' U M' U M' U M D' D' M' U M D' D'  (13sq) 
x' U M U M' U' M' U' M' D' D' M D' D'  (13sq) 
x' D R M' F' L M B' M' B R' D L' D'  (13sq) 
x U R M' B' R U' M' U L' M' D L' D'  (13sq) 
x' D L D' L M U' M' U L' M' D L' D'  (13sq) 
x' D L' L' D' M U' M' U M' D L' L' D'  (13sq) 
x' D L' D' L' M U' M' U L M' D L D'  (13sq) 
x' R B' M' M' B R' D L' D' M D L D'  (13sq) 
x' M D B D L U M' M' U' L' D' B' D'  (13sq) 
x' M D B D' L U' M' M' U L' D B' D'  (13sq) 
x' D B L D' R B' M' B R' D L' B' D'  (13sq) 
x' L U' M U L' D B' D' M' M' D B D'  (13sq) 
x' D B' L D' R B' M' B R' D L' B D'  (13sq) 
x' D R M' F' R D' M' D R' F R' M D'  (13sq) 
x U L U' L M D' M' D R' F R' M D'  (13sq) 
x' D L D' R B' M' B L' M' F R' M D'  (13sq) 
x' D' F D F L' U M' U' L F' D' F' D  (13sq) 
x' D' F' U L B' D' M' D B L' U' F D  (13sq) 
x' D' F' R B D' F' M' F D B' R' F D  (13sq) 
x' D' F' L U B' D' M' D B U' L' F D  (13sq) 
x' M D' B D L U' M' M' U L' D' B' D  (13sq) 
x' M D' B D' L U M' M' U' L' D B' D  (13sq) 
x' B M F' R' F L M' B' M' B L' B' D  (13sq) 
x' L U' M U L' D' B' D M' M' D' B D  (13sq) 
x' M' D' B M F' R F M' B' M' D' M D  (13sq) 
x' L U' M U M U' M' M' U' M' U' U' L'  (13sq) 
x' L M U' M' U M' U' M U' M' U' U' L'  (13sq) 
x' L U M U' M' M' U M' U M U' U' L'  (13sq) 
x' R B' L U M' U' M U' M' U R' U L'  (13sq) 
x L' M F L F' D' R' R' F' L' F U L'  (13sq) 
x' L M U' F' L F M' M' F' L' F U L'  (13sq) 
x R F' D' R M' F M' M' F' L' F U L'  (13sq) 
x' R B' U' L U M' M' U' R' M F U L'  (13sq) 
x' L U' L' U R B' M' B R' U' L U L'  (13sq) 
x' L B L' B M B' L B' U' M' M' U L'  (13sq) 
x' R M' U R' M F U M' U' F' L F' L'  (13sq) 
x R M' D L' D F M' F' D' R M' F' L'  (13sq) 
x' L F R' M D F M' F' D' R M' F' L'  (13sq) 
x' L M F' U' L F M' M' F' L' U F L'  (13sq) 
x R D' F' R M' F M' M' F' L' U F L'  (13sq) 
x' R U' B' L U M' M' U' R' M U F L'  (13sq) 
x' L M' F' L' F' U M U' M' F L F L'  (13sq) 
x' L D L D' R B' M' B R' D L' D' L'  (13sq) 
x M F L F' D' R' R' F' L' F U L' L'  (13sq) 
x' L' L' F L' F U M' U' F' L F' L' L'  (13sq) 
x M D' B' L B R' R' U B L' B' L' L'  (13sq) 
x L' M D' B' L B R' R' U B L' B' L'  (13sq) 
x' L M B L B' U' M' M' U B L' B' L'  (13sq) 
x R U R M' B' U' M' M' U B L' B' L'  (13sq) 
x' L U' M U B L' B' M' M' B L B' L'  (13sq) 
x' R D L D' B' M' M' B D R' M B' L'  (13sq) 
x' L M B' L B' U' M' M' U B L' B L'  (13sq) 
x R U' R M' B' U' M' M' U B L' B L'  (13sq) 
x' R D' L D' B' M' M' B D R' M B L'  (13sq) 
x' L' U' M U M U' M' M' U' M' U' U' L  (13sq) 
x' L' M U' M' U M' U' M U' M' U' U' L  (13sq) 
x' L' U M U' M' M' U M' U M U' U' L  (13sq) 
