M B' R B' M' B R' B  (8sq*) 
x B' D B' M' B L B' M B R' M B' U  (13sq) 
x M' B' D L D' B' M B D R' M B' U  (13sq) 
x B' D' R' M B' M B' B' M' B' L B U  (13sq) 
x' F' U' L' U' M U' U' M' U' R M' B U  (13sq) 
x' F' U' L' U' M U R U M' U' M' B U  (13sq) 
x M B' L B' R' U M U' R B R' M' U  (13sq) 
x B' R' D L' D' M' M' D L D' L M' U  (13sq) 
x B' R' M B' M B M' B M B' L M' U  (13sq) 
x' F' L' U' M U M' U M U' R M' M' U  (13sq) 
x B' D R' M B' M' M' B L B' M' M' U  (13sq) 
x' F' U L' U' M' M' U R M' B' M' M' U  (13sq) 
x' R F' M F' M F M' F L' U' M' M' U  (13sq) 
x' F' L' B U' B' M' M' B U B' R M U  (13sq) 
x' F' L' B' U' B M' M' B' U B R M U  (13sq) 
x' L' U L F M' M' F' L' U' R U' M U  (13sq) 
x' L' F R U M' M' U' R' F' R U' M U  (13sq) 
x' R U' R' F' M' M' F R U L' U' M U  (13sq) 
x' R F' L' U' M' M' U L F L' U' M U  (13sq) 
x' F' R U L' U' M' M' U L U' L' M U  (13sq) 
x' F' R M F' M F M' F M F' L' M U  (13sq) 
x L M U' R' U M' U' R U' M U' U' R'  (13sq) 
x' R F' L' M' U M' U' R U' M U' U' R'  (13sq) 
x L M' U' R' U' M U R U' M U' U' R'  (13sq) 
x R B' R' B M' B' L M U' M U' U' R'  (13sq) 
