x' U' U' M B' U' B' M' B U B M' U' U'  (13sq) 
x' M' U' B U B M B' U' B' U' M' U' U'  (13sq) 
x' M U' B U B' M' B U' B' U' M' U' U'  (13sq) 
x' U' M' B' L' B M B' L B U' M' U' U'  (13sq) 
x' M U' B' U B M' B' U' B U' M' U' U'  (13sq) 
x' M' U' B' U B' M B U' B U' M' U' U'  (13sq) 
x' M F U' F M' F' U F' U' U' M' U' U'  (13sq) 
x' M F U' F' M' F U F' U' U' M' U' U'  (13sq) 
x' M F' U' F M' F' U F U' U' M' U' U'  (13sq) 
x' M F' U' F' M' F U F U' U' M' U' U'  (13sq) 
x' B R B' M' B R' B' M U' U' M' U' U'  (13sq) 
x' M B M' B' U' B M B' M' U' M' U' U'  (13sq) 
x' M B' M' B U' B' M B M' U' M' U' U'  (13sq) 
x' B U' B M B' U B' U' M' U' M' U' U'  (13sq) 
x' B U' B' M B U B' U' M' U' M' U' U'  (13sq) 
x' B' U' B M B' U B U' M' U' M' U' U'  (13sq) 
x' B' U' B' M B U B U' M' U' M' U' U'  (13sq) 
x' U' F U F' M F U' F' M' U' M' U' U'  (13sq) 
x' U' F' U F M F' U' F M' U' M' U' U'  (13sq) 
x' M' U F U F M F' U' F' U M' U' U'  (13sq) 
x' M' U F' U F' M F U' F U M' U' U'  (13sq) 
x' F' R' F' M F R F U' U' M' M' U' U'  (13sq) 
x' M U' B' B' U M U' B' B' U' M U' U'  (13sq) 
x' F' R' F M F' R F M U' U' M U' U'  (13sq) 
x' U' L F M' F' F' M' F L' U' M U' U'  (13sq) 
x' U' M' U M' U' U' M' U M U' M U' U'  (13sq) 
x' U M U' M' U' U' M U M U' M U' U'  (13sq) 
x' M U R B' M' B U' B M' B' U R' U'  (13sq) 
x' M' U R M' F' L F' M F L' F R' U'  (13sq) 
x' M' U L D' R M' F' M F L' F R' U'  (13sq) 
x M' D L U' L U' M U R' M F R' U'  (13sq) 
x L D L U B U' R' U M U' B' R' U'  (13sq) 
x' M' U R' M' F' L F' M F L' F R U'  (13sq) 
x' M U L' R' B M' B' B' M' B L R U'  (13sq) 
x' F R' F M' D R' D' R F' R U F' U'  (13sq) 
x' U' U' M' U' M' F' L F' M F L' F U'  (13sq) 
x' M' M' U F' L' F U' M U F' L F U'  (13sq) 
x' U M' F' L' F' M U M' U' F L F U'  (13sq) 
x' U M' F' L' F' M U' M' U F L F U'  (13sq) 
x' M' U M' F' R M' U' M U R' M F U'  (13sq) 
x' U D F' D L' U M' U' L D' F D' U'  (13sq) 
x' U L U B L' B M' B' L B' U' L' U'  (13sq) 
x' U L U' F R' F M' F' R F' U L' U'  (13sq) 
x' U L B U L' B M' B' L U' B' L' U'  (13sq) 
x' U L' U B L' B M' B' L B' U' L U'  (13sq) 
x' U L' U' F R' F M' F' R F' U L U'  (13sq) 
x' M' U L' B M' F' F' M B' F' F' L U'  (13sq) 
x' U L' B U L' B M' B' L U' B' L U'  (13sq) 
x' M' U L' B D' D' M D' D' M' B' L U'  (13sq) 
x' M U L' B U' U' M' U' U' M' B' L U'  (13sq) 
x' M' U L' B' M' U' U' M U' U' B L U'  (13sq) 
x' M U L' B' M' D' D' M' D' D' B L U'  (13sq) 
x' M' U L' B' F' F' M F' F' M' B L U'  (13sq) 
x' U' U' M U' L' B M' B' B' M' B L U'  (13sq) 
