x F R' F' M F R F'  (7sq*) 
L' R' B' D' B M B' D B R' R' M'  (12sq) 
R' B D' B' M B D B' L' R' R' M'  (12sq) 
R' B' D' B M B' D B L' R' R' M'  (12sq) 
x2 R M' F L M D M' D' R' D' R' M'  (12sq) 
L' R' R' D R D' M D R' D' R' M'  (12sq) 
x2 L M' M' D R D' M D R' D' R' M'  (12sq) 
x2 R M F L M D' M D R' D' R' M'  (12sq) 
R M' B R B M' B' L' M' D' R' M'  (12sq) 
x2 L D L M B M' B' L' M' D' R' M'  (12sq) 
R M B R B' M B L' M' D' R' M'  (12sq) 
x2 L' L' D R D M' D' R' D' L' R' M'  (12sq) 
R' R' D R D' M D R' D' L' R' M'  (12sq) 
x2 L' L' B' M' B M B M' B' L' R' M'  (12sq) 
x2 L' D R D M' D' R' D' L' L' R' M'  (12sq) 
x2 L' B' M' B M B M' B' L' L' R' M'  (12sq) 
x2 L M' B' U M U' B U M' U' R' M'  (12sq) 
x2 L M' B' U' M U B U' M' U R' M'  (12sq) 
L' M' M' D R' D M' D' R D' R M'  (12sq) 
R' M' B L' M' D M' D' R D' R M'  (12sq) 
R' M B L' M' D' M D R D' R M'  (12sq) 
x2 R' M' F R' F M' F' L M D' R M'  (12sq) 
x2 R' M F R' F' M F L M D' R M'  (12sq) 
L' D L' M' F' M F L M D' R M'  (12sq) 
x2 R' R' D R' D M' D' R D' L R M'  (12sq) 
L' L' D R' D' M D R D' L R M'  (12sq) 
M' B L' R' M' D M' D' R' R' D' M'  (12sq) 
x2 M' F L R M D M' D' R' R' D' M'  (12sq) 
M B L' R' M' D' M D R' R' D' M'  (12sq) 
x2 M F L R M D' M D R' R' D' M'  (12sq) 
M' B R' R' B M' B' L' R' M' D' M'  (12sq) 
M B R' R' B' M B L' R' M' D' M'  (12sq) 
x2 M' F R' R' F M' F' L R M D' M'  (12sq) 
x2 M F R' R' F' M F L R M D' M'  (12sq) 
R D R' R' D' M D R' R' D' L' M'  (12sq) 
R U F' F' U M U' F' F' U' L' M'  (12sq) 
R U F' F' U' M U F' F' U' L' M'  (12sq) 
x2 R' D R' R' D M' D' R' R' D' L M'  (12sq) 
x2 B' L U' M U' M' U M' U R' U M'  (12sq) 
x2 B' R' U M U M' U' M' U' L U M'  (12sq) 
x2 L M' U B' U' M U B U' R' M' M'  (12sq) 
x2 L M' U' B' U M U' B U R' M' M'  (12sq) 
U L' R' R' M' B M' B' R' B' M' M'  (12sq) 
x2 M' M' D L M B' M B R' B' M' M'  (12sq) 
M' M' U R U' M U L' M' B' M' M'  (12sq) 
R M' B R B M' B' R' B' L' M' M'  (12sq) 
x2 L D L M B M' B' R' B' L' M' M'  (12sq) 
R M B R B' M B R' B' L' M' M'  (12sq) 
L U R U M' U' L' M' B' L' M' M'  (12sq) 
R M' U' M' U M U M' U' L' M' M'  (12sq) 
x2 R' M B R B M' B' R' B' L M' M'  (12sq) 
x2 L' D L M B M' B' R' B' L M' M'  (12sq) 
x2 R' M' B R B' M B R' B' L M' M'  (12sq) 
L' U R U M' U' L' M' B' L M' M'  (12sq) 
x2 R' M U' M' U M U M' U' L M' M'  (12sq) 
x2 R' U' F M F' U F M' F' L M' M'  (12sq) 
x2 R' U' F' M F U F' M' F L M' M'  (12sq) 
R M' F U F' L' B' R' U' R B M  (12sq) 
x2 L U B U' R' M B' R' U' R B M  (12sq) 
L D F D' L' U' L' M' U' R B M  (12sq) 
x2 L U B U' L' D' R' B' L M B M  (12sq) 
L' R' R' U R' U M' U' R U' R' M  (12sq) 
x2 L M' M' U R' U M' U' R U' R' M  (12sq) 
R M F L' M' U M' U' R U' R' M  (12sq) 
R M' F L' M' U' M U R U' R' M  (12sq) 
x2 R M B R' B M' B' L M U' R' M  (12sq) 
x2 R M' B R' B' M B L M U' R' M  (12sq) 
x2 L U L' M' B' M B L M U' R' M  (12sq) 
R' R' U R' U M' U' R U' L' R' M  (12sq) 
x2 L' L' U R' U' M U R U' L' R' M  (12sq) 
x2 L' U R' U' M U R U' L' L' R' M  (12sq) 
x2 R' M B L M U M' U' R' U' R M  (12sq) 
L' M' M' U R U' M U R' U' R M  (12sq) 
x2 R' M' B L M U' M U R' U' R M  (12sq) 
R' M F R F M' F' L' M' U' R M  (12sq) 
L' U L M F M' F' L' M' U' R M  (12sq) 
R' M' F R F' M F L' M' U' R M  (12sq) 
L' L' U R U M' U' R' U' L R M  (12sq) 
x2 R' R' U R U' M U R' U' L R M  (12sq) 
L' L' F' M' F M F M' F' L R M  (12sq) 
L' M' F' D M D' F D M' D' R M  (12sq) 
L' M' F' D' M D F D' M' D R M  (12sq) 
D' L' M' F M F' R F' M' F' F' M  (12sq) 
x2 U' R' U M U' L M F' M' F' F' M  (12sq) 
D M' F' M F R F' M' F L' F' M  (12sq) 
R U F U F' M' F U' F' U' L' M  (12sq) 
R U F' U F M' F' U' F U' L' M  (12sq) 
x2 L' L' R' F U' F' M F U F' L' M  (12sq) 
R M' M' F U' F' M F U F' L' M  (12sq) 
x2 L' L' R' F' U' F M F' U F L' M  (12sq) 
R M' M' F' U' F M F' U F L' M  (12sq) 
x2 L' R' F U' F' M F U F' L' L' M  (12sq) 
x2 L' R' F' U' F M F' U F L' L' M  (12sq) 
x2 R' U' M B M' B' U B M B' L M  (12sq) 
x2 U B U' R' M B' R' U' R B L M  (12sq) 
D F D' L' U' L' M' U' R B L M  (12sq) 
x2 R' U' M B' M' B U B' M B L M  (12sq) 
x2 U B U' L' D' R' B' L M B L M  (12sq) 
x2 R' U' B U B' M B U' B' U L M  (12sq) 
x2 R' U' B' U B M B' U' B U L M  (12sq) 
x2 F L U R' U' M U R U' R' D' M  (12sq) 
x2 F R' F U' F' M F U F' L D' M  (12sq) 
