x L F' L' L' R' R' M B' M' B M B R'  (13sq) 
x L F' M' F' L' L' R' R' M B M B R'  (13sq) 
x L' F' M' M' F U L' U M' U' L U' R  (13sq) 
x L' M' F U M F M' M' F' M' U' F' R  (13sq) 
x L' M' F U' M F M' M' F' M' U F' R  (13sq) 
x L' M F' M' F M F' M F' M' F' F' R  (13sq) 
x L' M' F M F M' F' M' F M' F' F' R  (13sq) 
x L' M F M' D M' F M F' M D' F' R  (13sq) 
x L' M F M' D' M' F M F' M D F' R  (13sq) 
x' L' M' B M B L' L' R' R' F' M' F' R  (13sq) 
x L' F' F' M' F' M F M' M' F' M' F' R  (13sq) 
x L' F M' F M' F' M' F M F' M' F' R  (13sq) 
x' L' M B' M' B L' L' R' R' F M' F' R  (13sq) 
x L' U M F' M' F M' U' M' F M' F' R  (13sq) 
x L' U' M F' M' F M' U M' F M' F' R  (13sq) 
x L' F' M F M F' M F M' F M' F' R  (13sq) 
x L' F' F' M F M' F M' M' F M' F' R  (13sq) 
x' L' M B L' L' R' R' F M F' M F' R  (13sq) 
x L' F' F' M F' M' M' F M F' M F' R  (13sq) 
x' R' M F R' M D F M F' D' L D' R  (13sq) 
x R' M B L' B D M D' B' R M' D' R  (13sq) 
x L' D R' M B D M D' B' R M' D' R  (13sq) 
x L' L' M' F M F M' M' F' M' F' L R  (13sq) 
x' R' R' M F M F M' M' F' M' F' L R  (13sq) 
x' R' R' M' F' M' F M' M' F M' F' L R  (13sq) 
x L' L' M F' M' F M' M' F M' F' L R  (13sq) 
x' R' R' M' F M' M' F M F' M F' L R  (13sq) 
x L' L' M F M' M' F M F' M F' L R  (13sq) 
x L' L' D L' D F M F' D' L D' L R  (13sq) 
x F' U' L' M' F' R B M' M' U F U F'  (13sq) 
x' B' D' R' U' L M B M' M' U F U F'  (13sq) 
x D F' R M' F M' F' L' F' M' F U F'  (13sq) 
x' U B' L U M' U' R' M F' M' F U F'  (13sq) 
x M' D F' R M' D' F' M' F D L' U F'  (13sq) 
x' M' U B' L F' U' M' U F R' M U F'  (13sq) 
x D L' D F' M' F D' M' F' M' F R F'  (13sq) 
x D' D' M' D' L' M' D F M' F' D' R F'  (13sq) 
x D' D' R U' M' U' M U M U L' F' F'  (13sq) 
x' U' U' R' U M U' M' U M' U' L F' F'  (13sq) 
x M' D B L' M' D F M' F' D' R D' F'  (13sq) 
x' M' U F R' F U M' U' F' L M D' F'  (13sq) 
x M' D B' L' M' D F M' F' D' R D F'  (13sq) 
x' M' U F' R' F U M' U' F' L M D F'  (13sq) 
x' M' M' U' M' U' M U' R' U' M U L F'  (13sq) 
x' D' M B' M' F M D' M U M B' B' F'  (13sq) 
x M' D R' B D M' D' B' L' R' R' M' F'  (13sq) 
x' U' U' D' M B M F' M D M' U' M F'  (13sq) 
x L' M F M' F' R F M' F M F' M F'  (13sq) 
x' U' U' M' U' R' F U M' U' F' L M F'  (13sq) 
x' B' U R' U' L M' U F' U L' U' L F  (13sq) 
x D' R' M B D' L' L' R' R' U F' L F  (13sq) 
x' U' L' U B' L' L' R' R' F D' R M' F  (13sq) 
x' U' L' U B' M' M' B U' L' L' R' M F  (13sq) 
x' U' R' U' M' U L U' F M' F' U M F  (13sq) 
x' R' U' M U L D F D M' M' D' F' D'  (13sq) 
x' F U' F R' M U M' M' U' L D' F D'  (13sq) 
x B D' B L' F M' M' F' R M' D' F D'  (13sq) 
x' F U' F' R' M U' M' M' U L D F D'  (13sq) 
x B D' B' L' F' M' M' F R M' D F D'  (13sq) 
x' M F R' M D R' F M F' R D' L D'  (13sq) 
x M B L' B L' M' F M F' R D' L D'  (13sq) 
x' M F L' F R' U M U' L M D' L D'  (13sq) 
x M B L' B R' D M D' R B' R M' D'  (13sq) 
x' R' U' M U L D' F D' M' M' D F' D  (13sq) 
x' F' U' F R' M U' M' M' U L D' F D  (13sq) 
x B' D' B L' F' M' M' F R M' D' F D  (13sq) 
x' F' U' F' R' M U M' M' U' L D F D  (13sq) 
x B' D' B' L' F M' M' F' R M' D F D  (13sq) 
x F' M' M' F R U L' U M' U' L U' L'  (13sq) 
x R M' U' F R' F' M' M' F R F' U L'  (13sq) 
x L F' D L' M' F' M' M' F R F' U L'  (13sq) 
x' L B' U R' U' M' M' U L M F' U L'  (13sq) 
x' L B' R' U' M' U M U M' U' L U L'  (13sq) 
x R U M' U M U M U M U' M' U L'  (13sq) 
x' L' L' R' F R' D F M' F' D' R F' L'  (13sq) 
x R M' M' F R' D F M' F' D' R F' L'  (13sq) 
x L M' D L' M' D F M' F' D' R F' L'  (13sq) 
x R U' M' U M' F' F' U M' U' F' F' L'  (13sq) 
x R F' F' U' M' U' M U M U F' F' L'  (13sq) 
x R M F M' U M' F M F' U' M F' L'  (13sq) 
x R U' M' U M' F M' U M' U' M F' L'  (13sq) 
x M F M' F' R F M' F M F' M F' L'  (13sq) 
x' L M' U R' F U M' U' F' L M F' L'  (13sq) 
x R M' F' L' F U' M' M' U F' L F L'  (13sq) 
x' L U' R' M F U' M' M' U F' L F L'  (13sq) 
x L D' L' D F' M' M' F D' R M' F L'  (13sq) 
x R M F' M' U M' F' M F U' M F L'  (13sq) 
x R U' M' U M' F' M' U M' U' M F L'  (13sq) 
x R D L' D R' F M F' R D' L D' L'  (13sq) 
x' L' R' F R' D F M' F' D' R F' L' L'  (13sq) 
x R M B M U' B M B' M' U M' B' L'  (13sq) 
x R M B' M U' B' M B M' U M' B L'  (13sq) 
x' R' U' R U' L' B M' B' L U R' U L  (13sq) 
x' R' M U' F R' F' M' M' F R F' U L  (13sq) 
x L' F' D L' M' F' M' M' F R F' U L  (13sq) 
x' L' B' U R' U' M' M' U L M F' U L  (13sq) 
x' L' B' R' U' M' U M U M' U' L U L  (13sq) 
x' F' L F' M F L' F R' U' M' M' U L  (13sq) 
x' R' F' L F' M F L' F U' M' M' U L  (13sq) 
x' B' R' U' M' M' U R B R' U' M U L  (13sq) 
x' U' L' B' M' M' B L U R' U' M U L  (13sq) 
x' R' F U' L D' F' M' F D L' U F' L  (13sq) 
x L' M' D L' M' D F M' F' D' R F' L  (13sq) 
x' R' F' F' U M U' M' U M' U' F' F' L  (13sq) 
x' R' F D R' D F M' F' D' R D' F' L  (13sq) 
x' R' F D' R' D F M' F' D' R D F' L  (13sq) 
x' R' M' F M' U M' F M F' U' M F' L  (13sq) 
x' L' M' U R' F U M' U' F' L M F' L  (13sq) 
x' R' F L' M' F U M' U' F' L M F' L  (13sq) 
x' R' M F' L' F U' M' M' U F' L F L  (13sq) 
x' L' U' R' M F U' M' M' U F' L F L  (13sq) 
x L' D' L' D F' M' M' F D' R M' F L  (13sq) 
x' R' M' F' M' U M' F' M F U' M F L  (13sq) 
x' R' M' B M U' B M B' M' U M' B' L  (13sq) 
x' M' B M' B' R' M' B' M B' B' M B' L  (13sq) 
x' R' M' B' M U' B' M B M' U M' B L  (13sq) 
x' D M B D' M' D B' L B M' B' R' B'  (13sq) 
x U R U B' M' B U' M' B M' B' L' B'  (13sq) 
x' D' D' L B' M' B M' B' M B R' B' B'  (13sq) 
x' D' L M D' B' M' B D R' B' M' B' B'  (13sq) 
x U' R B' U' M' U B L' M' B' M' B' B'  (13sq) 
x' L M' B M' B' R' M' B' M B' B' M B'  (13sq) 
x' D' B D M' D' R' M B' M' B L U' B  (13sq) 
x U' F U M' U' L' U' M' U R M' U' B  (13sq) 
x D R M' U' L F M' F' L' U L' F' M'  (13sq) 
x D L F' R M' F M' F' L' U L' F' M'  (13sq) 
x' U L B' L U M' U' R' M U L' F' M'  (13sq) 
x' U R' M U' L F M' F' L' U L F' M'  (13sq) 
x D L' F' R M' F M' F' L' U L F' M'  (13sq) 
x' U L' B' L U M' U' R' M U L F' M'  (13sq) 
x' U B' L' L' R' M F M' F' L' U F' M'  (13sq) 
x D L' F' L D M' D' L' F R M' F' M'  (13sq) 
x M' D M D' L' F' M' F R F M' F' M'  (13sq) 
x' U L' U B' M' B U' L' L' R' M F' M'  (13sq) 
x' U L B' L U M' U' L' B R' M F' M'  (13sq) 
x' B' U M' U' B U' R' U M U' L F M'  (13sq) 
x L' R' D M D M' M' D' M' D' R' R' M'  (13sq) 
x' L R D' M' D M' M' D M' D' R' R' M'  (13sq) 
x' L R D M' M' D M D' M D' R' R' M'  (13sq) 
