x L2 U L M S E R' E' F' S' R2  (11s) 
L2 F L E2 S' E' L' E' F' S' R2  (11s) 
x' L2 D R E S' L' M' E' F' S' R2  (11s) 
S' L2 B F2 U S2 U' B' F2 S' R2  (11s) 
z' S' D2 F' S U S2 U' B' F2 S' R2  (11s) 
z2 S' R2 B' S2 U S2 U' B' F2 S' R2  (11s) 
z' F' L2 U S2 U' L2 B' F2 L2 S' R2  (11s) 
z' B2 F R2 D' S2 D R2 B L2 S' R2  (11s) 
z F' S2 R2 D' S2 D R2 B L2 S' R2  (11s) 
B' S' R2 D' S2 D R2 B L2 S' R2  (11s) 
z F' R2 D S2 D' R2 B S2 L2 S' R2  (11s) 
F' U2 R S2 R' U2 F S' L2 S' R2  (11s) 
U2 F' R S2 R' F U2 S' L2 S' R2  (11s) 
S' L2 B' M2 U' S2 U M2 B S' R2  (11s) 
z' x E F2 D R S2 R' U M' D2 L R  (11s) 
x' E' R' E2 R' E2 B M' B' L S R  (11s) 
x E L' S2 L' E2 B M' B' L S R  (11s) 
x E' R B M' B' E2 L' S2 R' S' R  (11s) 
x' F' E2 L S' L' F E' L R2 S' R  (11s) 
z2 F' L S2 L' B2 F' R S L2 S' R  (11s) 
z F' D S2 D' B S R S L2 S' R  (11s) 
F' R S2 R' F S2 R S L2 S' R  (11s) 
y x2 M' E' B' U2 D' F E2 F' U' S' R  (11s) 
x2 S E' R' U E F E2 F' U' S' R  (11s) 
y' x2 M E' F' D E2 F E2 F' U' S' R  (11s) 
x2 D' S2 L E' L' D S R' M' S' R  (11s) 
x B' E2 L S L' B E L' M2 S' R  (11s) 
x' D F2 D R D2 M' U2 R' F' L2 F'  (11s) 
z2 x' D B2 D' M D2 L E2 R' F' L2 F'  (11s) 
z x2 F' B2 S' U2 B R E2 R' F' L2 F'  (11s) 
x2 F2 B' S2 U2 B R E2 R' F' L2 F'  (11s) 
y L D' U' E' B R E2 R' F' L2 F'  (11s) 
z B S' D2 E2 B R E2 R' F' L2 F'  (11s) 
y' R D U E B R E2 R' F' L2 F'  (11s) 
z x2 B R2 F' B2 S' R E2 R' F' L2 F'  (11s) 
x2 B D2 F2 B' S2 R E2 R' F' L2 F'  (11s) 
x2 F S L2 F S R E2 R' F' L2 F'  (11s) 
z' F R2 M2 F S R E2 R' F' L2 F'  (11s) 
z' x' U E' B2 D L M E2 R' F' L2 F'  (11s) 
x U F2 S2 D L M E2 R' F' L2 F'  (11s) 
z' x' D L2 U E' L M E2 R' F' L2 F'  (11s) 
z2 F D2 F R' L2 M2 E2 R' F' L2 F'  (11s) 
y2 x' U F2 U R2 L' M' E2 R' F' L2 F'  (11s) 
y2 B U2 B R S2 E2 S2 R' F' L2 F'  (11s) 
y2 B U2 B R' L2 E2 L2 R F' L2 F'  (11s) 
z2 F D2 F R M2 E2 L2 R F' L2 F'  (11s) 
y2 x' U F2 U L M' E2 L2 R F' L2 F'  (11s) 
x' D F2 D L F2 M' B2 L' F' L2 F'  (11s) 
y2 B2 M2 B' U2 B L S2 L' F' L2 F'  (11s) 
z' x2 E2 F S U2 B L S2 L' F' L2 F'  (11s) 
M2 F D2 E2 B L S2 L' F' L2 F'  (11s) 
z' x2 E2 B L2 F S L S2 L' F' L2 F'  (11s) 
y2 x' M2 U F2 U R M' S2 L' F' L2 F'  (11s) 
z' x D E F2 U R S2 L' M' F' L2 F'  (11s) 
x' D B2 S2 U R S2 L' M' F' L2 F'  (11s) 
z' x U L2 D E R S2 L' M' F' L2 F'  (11s) 
y2 B U2 B L M S2 L' M' F' L2 F'  (11s) 
z2 F D2 F R' L2 E2 R' M2 F' L2 F'  (11s) 
y2 B U2 B R M2 E2 R' M2 F' L2 F'  (11s) 
z2 x' D B2 D L M' E2 R' M2 F' L2 F'  (11s) 
z2 F D2 F R E2 L2 R M2 F' L2 F'  (11s) 
z2 x' M2 D B2 D L E2 R' M F' L2 F'  (11s) 
z2 x' D B2 D R S2 L R2 M F' L2 F'  (11s) 
z2 x' D B2 D R' L2 S2 L' M F' L2 F'  (11s) 
y2 x' U F2 U R M2 S2 L' M F' L2 F'  (11s) 
y2 B U2 B L M' S2 L' M F' L2 F'  (11s) 
x2 F S L2 B U M2 U' B' S L2 F'  (11s) 
z' F R2 M2 B U M2 U' B' S L2 F'  (11s) 
x2 B D2 F S U M2 U' B' S L2 F'  (11s) 
y' x R B2 R D E M2 U' B' S L2 F'  (11s) 
z' x2 E2 B L2 B D S2 D' B' S L2 F'  (11s) 
y x' L F2 L U S2 D' E' B' S L2 F'  (11s) 
x2 B D2 B L E2 L' B2 F S2 L2 F'  (11s) 
z x2 B R2 B D M2 D' B F2 S' L2 F'  (11s) 
x2 F2 S2 U2 B R E2 R' F' L2 B' F'  (11s) 
F2 D2 E2 B R E2 R' F' L2 B' F'  (11s) 
z' x2 B2 L2 F S R E2 R' F' L2 B' F'  (11s) 
z2 x' D2 B2 D L M E2 R' F' L2 B' F'  (11s) 
y2 M2 B2 U2 B L S2 L' F' L2 B' F'  (11s) 
y2 B2 M2 U2 B L S2 L' F' L2 B' F'  (11s) 
y2 B2 U2 M2 B L S2 L' F' L2 B' F'  (11s) 
y2 x' U2 F2 U R S2 L' M' F' L2 B' F'  (11s) 
z' x2 B2 L2 B U M2 U' B' S L2 B' F'  (11s) 
z2 F2 D2 F R E2 R' B' R2 M2 B' F'  (11s) 
z x2 F' S' U2 B R E2 R' F' L2 B2 F'  (11s) 
F' D2 E2 B R E2 R' F' L2 B2 F'  (11s) 
z' x2 B' L2 F S R E2 R' F' L2 B2 F'  (11s) 
z2 x' D' B2 D L M E2 R' F' L2 B2 F'  (11s) 
y2 M2 B' U2 B L S2 L' F' L2 B2 F'  (11s) 
y2 x' U' F2 U R S2 L' M' F' L2 B2 F'  (11s) 
z' x2 B' L2 B U M2 U' B' S L2 B2 F'  (11s) 
z2 F' D2 F R E2 R' B' R2 M2 B2 F'  (11s) 
y2 x' U F2 U R S2 R' D' L R M' F'  (11s) 
