x2 B2 M2 F U M U' M B2 M' F' U M' U'  (13s) 
x2 M2 F' M2 U' M' U M F2 M' F' U M' U'  (13s) 
x2 F' U2 M2 U' M U' M' F2 M F' U M' U'  (13s) 
x2 F B2 U M U' M F2 M B2 F U M' U'  (13s) 
x2 F' M2 U' M' U M B2 M B2 F U M' U'  (13s) 
x2 F M U2 M' U' M U' F2 M2 F U M' U'  (13s) 
x2 M2 F' M2 U' M' U' M' U2 M F U M' U'  (13s) 
x2 F' M2 U' M' D2 U M D2 M F U M' U'  (13s) 
x2 F U M U' F' L F' M2 F L' U M' U'  (13s) 
x2 U2 R2 B' R2 U M' U L2 F' L2 U M' U'  (13s) 
x F R F D2 F' M F D2 M2 F' L' M2 U'  (13s) 
x2 U' M2 U' R U M U2 M2 U R' U' M U'  (13s) 
x2 U F' M' F' M2 U2 M U2 F' M' F' M U'  (13s) 
x2 U F' M' F' D2 M D2 M2 F' M' F' M U'  (13s) 
x2 U F' M' F M2 U2 M U2 F M' F' M U'  (13s) 
x2 U F' M' F D2 M D2 M2 F M' F' M U'  (13s) 
x2 D2 F U' M2 U2 M U' F' U M2 D2 M U'  (13s) 
x F2 L' R2 U M2 F2 U M' U' F2 U' R' U2  (13s) 
x2 M U2 R U M2 F2 U M' U' F2 U' R' U2  (13s) 
x' M2 B2 L U M2 F2 U M' U' F2 U' R' U2  (13s) 
x' B2 L M2 U M2 F2 U M' U' F2 U' R' U2  (13s) 
x2 U2 R M U M2 F2 U M' U' F2 U' R' U2  (13s) 
x F2 L' R2 U M2 F2 U' M' U F2 U' R' U2  (13s) 
x2 M U2 R U M2 F2 U' M' U F2 U' R' U2  (13s) 
x' M2 B2 L U M2 F2 U' M' U F2 U' R' U2  (13s) 
x' B2 L M2 U M2 F2 U' M' U F2 U' R' U2  (13s) 
x2 U2 R M U M2 F2 U' M' U F2 U' R' U2  (13s) 
x2 M' U2 R U F2 U M U' F2 M2 U' R' U2  (13s) 
x2 U2 R M' U F2 U M U' F2 M2 U' R' U2  (13s) 
x2 M' U2 R U F2 U' M U F2 M2 U' R' U2  (13s) 
x2 U2 R M' U F2 U' M U F2 M2 U' R' U2  (13s) 
x2 U' L F' M' F L' U' R U' M' U R' U2  (13s) 
x' R' U' M2 U L F' M2 F U2 F M' F' U2  (13s) 
x2 L2 M2 D F' R' U' R2 U F R D' L2 U2  (13s) 
x' R2 B D' L' M' U' R2 U F R D' L2 U2  (13s) 
x2 R2 U B' R' D' L2 M2 U F R D' L2 U2  (13s) 
x R2 F U' R' B' R2 B U L M D' L2 U2  (13s) 
x2 U2 L F D2 F M F' D2 M2 F' L' M' U2  (13s) 
x2 U2 L F D2 F' M F D2 M2 F' L' M' U2  (13s) 
x' L U M' B2 M2 B2 U' R' U' M' U' M' U2  (13s) 
x' L U M' F2 M2 F2 U' R' U' M' U' M' U2  (13s) 
x2 R M' U' M2 U2 M' U' R' U' M' U' M' U2  (13s) 
x' L U D2 M2 D2 M' U' R' U' M' U' M' U2  (13s) 
x L' R2 U M U2 M2 U R' U' M' U' M' U2  (13s) 
x' L M2 U M U2 M2 U R' U' M' U' M' U2  (13s) 
x2 R M U M U2 M2 U R' U' M' U' M' U2  (13s) 
x' L U' D2 M' D2 M2 U R' U' M' U' M' U2  (13s) 
x2 L F' M2 F2 M' F' L' M' U' M' U' M' U2  (13s) 
x L' F' M F R F' M2 F2 M' F' U2 M' U2  (13s) 
x F' M F R F' M2 F2 M' F' L' U2 M' U2  (13s) 
x' U' M2 U2 M' U' R' U' M' U L U2 M' U2  (13s) 
x2 R2 U B' R' D' R2 D B R U' R2 M2 U2  (13s) 
x L' F M' F' R F' M' F2 M2 F' U2 M U2  (13s) 
x F M' F' R F' M' F2 M2 F' L' U2 M U2  (13s) 
D' L2 B U B2 U' R' U' B' U2 B R' U  (13s) 
x F' L' U R2 U' M2 U2 M' U' R2 U' R U  (13s) 
x F' L' D B2 D M' D2 M2 D B2 D' R U  (13s) 
x' B' U R' U' M U' M' U' M' U' L F' U  (13s) 
x2 U' M F M F M2 U2 M' U2 F' M' F' U  (13s) 
x2 U' D2 M F' M' F D2 F2 M' F' M' F' U  (13s) 
x2 U M F M F' M2 U2 F2 M' F' M' F' U  (13s) 
x2 U' M F M F D2 M' D2 M2 F' M' F' U  (13s) 
x2 U D2 M F' M' F D2 M' U2 F M' F' U  (13s) 
x2 U' M F M F' M2 U2 M' U2 F M' F' U  (13s) 
x2 U M F M F M' F2 M2 U2 F M' F' U  (13s) 
x2 U' M F M F' D2 M' D2 M2 F M' F' U  (13s) 
x2 F U' L' U2 F' U' F U M2 U' L F2 U  (13s) 
x2 U' M F' U2 F M2 U2 M' U2 F' U2 F U  (13s) 
x2 U' F2 M F U2 F' M2 F2 M' F' U2 F U  (13s) 
x2 U' M F' U2 F D2 M' D2 M2 F' U2 F U  (13s) 
x2 U' M F' U2 F' M2 U2 M' U2 F U2 F U  (13s) 
x2 U' M F' U2 F' D2 M' D2 M2 F U2 F U  (13s) 
B M B' D' B' L2 R' U M' U' R' F U  (13s) 
x' U M U' B' U' L M' U M' U' R' F U  (13s) 
x2 F M F' U' F' R M2 U M' U' R' F U  (13s) 
x2 D2 F U' L' U2 M2 F' U' F L F2 D2 U  (13s) 
x2 F' M' F2 M' U' M' U F' D2 U' M D2 U  (13s) 
x2 F M' U2 M' U M' U F' D2 U' M D2 U  (13s) 
x2 U F' M' F D2 M U2 F' M F M D2 U  (13s) 
x F' R U R U' M2 U2 M' U' R' U' L' U  (13s) 
x2 F M' U2 M' U' M' U' F' U' B2 M B2 U  (13s) 
x2 F' M' F2 M' U M' U' F' U' B2 M B2 U  (13s) 
x2 U' M B' R2 B M2 U2 M' U2 B' R2 B U  (13s) 
x2 U' M B' R2 B D2 M' D2 M2 B' R2 B U  (13s) 
x2 U' M B' R2 B' M2 U2 M' U2 B R2 B U  (13s) 
x2 U' M B' R2 B' D2 M' D2 M2 B R2 B U  (13s) 
x2 U' B2 M' B R2 B M B2 M2 B R2 B U  (13s) 
